selection_category,role_label,review_order,candidate_status,case_rank,pair_key,intervention,transition,id_a,id_b,formula_contrast,metal_contrast,renderable,median_absolute_log_difference,mean_wc_concordance,mean_selectivity_concordance,pair_used_elsewhere,framework_used_elsewhere,production_note,final_case_decision,parsed_heteroatoms_nonmetal_a,parsed_heteroatoms_nonmetal_b,renderable_bool,heat_data_available,case_heat_summary_status,guest_specificity_context_available,guest_specificity_context_note
strong_linker_process_aligned,Strong linker / process aligned,1,RECOMMENDED,1,DB0-m3_o11_o17_f0_pcu.sym.32 || DB0-m3_o12_o20_f0_pcu.sym.24,linker_family_change,-49301 <-> -6941,DB0-m3_o11_o17_f0_pcu.sym.32,DB0-m3_o12_o20_f0_pcu.sym.24,Zn2H15C26N3O10  <->  ZnH2C8N3O8,Zn  <->  Zn,True,0.8118506785519575,1.0,1.0,False,False,,REVIEW,N;O,N;O,True,True,PENDING_EXACT_PAIR_TO_GROUP_BRIDGE,True,Class-level paired-process result only; not assigned to an individual case.
strong_linker_process_aligned,Strong linker / process aligned,2,ALTERNATE,2,DB13-nbo-Syn034591 || DB13-nbo-Syn038645,linker_family_change,87376 <-> 96343,DB13-nbo-Syn034591,DB13-nbo-Syn038645,CuH10C17O6  <->  CuH6(C8O3)2,Cu  <->  Cu,True,0.5776906544730667,1.0,1.0,False,False,,REVIEW,O,O,True,True,PENDING_EXACT_PAIR_TO_GROUP_BRIDGE,True,Class-level paired-process result only; not assigned to an individual case.
strong_linker_process_aligned,Strong linker / process aligned,3,ALTERNATE,3,DB0-m9_o1_o17_f0_sra.sym.129 || DB0-m9_o2_o14_f0_sra.sym.10,linker_family_change,-15308 <-> -34805,DB0-m9_o1_o17_f0_sra.sym.129,DB0-m9_o2_o14_f0_sra.sym.10,V4H27C55N3O23  <->  V2H15C27NO11,V  <->  V,True,0.4120429684189283,1.0,1.0,False,False,,REVIEW,N;O,N;O,True,True,PENDING_EXACT_PAIR_TO_GROUP_BRIDGE,True,Class-level paired-process result only; not assigned to an individual case.
strong_metal_process_aligned,Strong metal / process aligned,1,RECOMMENDED,1,DB0-m2_o7_o7_f0_nbo.sym.45 || DB0-m3_o7_o7_f0_nbo.sym.48,metal_substitution,Cu <-> Zn,DB0-m3_o7_o7_f0_nbo.sym.48,DB0-m2_o7_o7_f0_nbo.sym.45,ZnH4C16(IO)4  <->  CuH4C16(IO)4,Zn  <->  Cu,True,0.3066922037147179,1.0,1.0,False,False,,REVIEW,I;O,I;O,True,True,PENDING_EXACT_PAIR_TO_GROUP_BRIDGE,True,Class-level paired-process result only; not assigned to an individual case.
strong_metal_process_aligned,Strong metal / process aligned,2,ALTERNATE,2,DB12-GAJZEY_freeONLY || DB12-GAKBAX_freeONLY,metal_substitution,Eu <-> Nd,DB12-GAKBAX_freeONLY,DB12-GAJZEY_freeONLY,EuPH15C7NO7  <->  NdPH15C7NO7,Eu  <->  Nd,True,0.2855802604338084,1.0,1.0,False,False,,REVIEW,N;O;P,N;O;P,True,True,PENDING_EXACT_PAIR_TO_GROUP_BRIDGE,True,Class-level paired-process result only; not assigned to an individual case.
strong_metal_process_aligned,Strong metal / process aligned,3,ALTERNATE,3,DB12-GAJZOI_freeONLY || DB12-GAKBAX_freeONLY,metal_substitution,Eu <-> Gd,DB12-GAKBAX_freeONLY,DB12-GAJZOI_freeONLY,EuPH15C7NO7  <->  GdPH15C7NO7,Eu  <->  Gd,True,0.2318701756959289,1.0,1.0,False,False,,REVIEW,N;O;P,N;O;P,True,True,PENDING_EXACT_PAIR_TO_GROUP_BRIDGE,True,Class-level paired-process result only; not assigned to an individual case.
cu_zn_pressure_exception,Cu-Zn pressure exception,1,RECOMMENDED,1,DB0-m2_o6_o27_f0_nbo.sym.30 || DB0-m3_o6_o27_f0_nbo.sym.33,metal_substitution,Cu <-> Zn,DB0-m3_o6_o27_f0_nbo.sym.33,DB0-m2_o6_o27_f0_nbo.sym.30,Zn3H20C40(N2O3)4  <->  Cu3H20C40(N2O3)4,Zn  <->  Cu,True,0.082032153589349,1.0,1.0,False,False,,REVIEW,N;O,N;O,True,True,PENDING_EXACT_PAIR_TO_GROUP_BRIDGE,True,Class-level paired-process result only; not assigned to an individual case.
cu_zn_pressure_exception,Cu-Zn pressure exception,2,ALTERNATE,2,DB0-m2_o27_o27_f0_nbo.sym.5 || DB0-m3_o27_o27_f0_nbo.sym.7,metal_substitution,Cu <-> Zn,DB0-m2_o27_o27_f0_nbo.sym.5,DB0-m3_o27_o27_f0_nbo.sym.7,CuH4C16N4(ClO)4  <->  ZnH4C16N4(ClO)4,Cu  <->  Zn,True,0.1351347363937184,1.0,1.0,False,False,,REVIEW,Cl;N;O,Cl;N;O,True,True,PENDING_EXACT_PAIR_TO_GROUP_BRIDGE,True,Class-level paired-process result only; not assigned to an individual case.
cu_zn_pressure_exception,Cu-Zn pressure exception,3,ALTERNATE,3,DB0-m2_o5_o27_f0_nbo.sym.55 || DB0-m3_o5_o27_f0_nbo.sym.58,metal_substitution,Cu <-> Zn,DB0-m2_o5_o27_f0_nbo.sym.55,DB0-m3_o5_o27_f0_nbo.sym.58,Cu3H16C28(NO4)4  <->  Zn3H16C28(NO4)4,Cu  <->  Zn,True,0.1271155014599049,1.0,1.0,False,False,,REVIEW,N;O,N;O,True,True,PENDING_EXACT_PAIR_TO_GROUP_BRIDGE,True,Class-level paired-process result only; not assigned to an individual case.
near_null_comparison,Near-null comparison,1,RECOMMENDED,1,DB0-m2_o23_o28_f0_nbo.sym.21 || DB0-m2_o23_o28_f0_nbo.sym.4,linker_family_change,40141 <-> 43459,DB0-m2_o23_o28_f0_nbo.sym.21,DB0-m2_o23_o28_f0_nbo.sym.4,Cu3H40C58(NO8)2  <->  Cu3H38C57(NO8)2,Cu  <->  Cu,True,0.0124776994935253,1.0,0.75,False,False,,REVIEW,N;O,N;O,True,True,PENDING_EXACT_PAIR_TO_GROUP_BRIDGE,True,Class-level paired-process result only; not assigned to an individual case.
